OCC_CODE,proj,bundle,value,strip,cong,reinst,dlnw
51-2021,-0.0028410580200685515,-0.07003799685223389,-1.0305608968470743,-0.011345205685816762,-1.0368610988747302,0.01764540771347267,0.27766624970463516
51-2031,-0.002882375211374915,-0.0695078135395929,-0.7309040240321187,-0.01450991249054523,-0.7343302400326253,0.01793612849105175,0.1623822458973163
51-2041,-0.0015205105960545892,0.014270886834643545,-0.6596264371764109,-0.0032853110254538187,-0.6752243795753663,0.01888325342440922,0.23968973617400824
51-2051,-0.0013789920674053542,0.06101276358806691,-0.4948128800238125,-0.0056097690754408625,-0.5091945751936033,0.019991464245231683,0.2785549665480973
51-2061,-0.003305545813642845,-0.14754943798558007,-0.5424350585388624,-0.014912065275369368,-0.5472728419113726,0.019749848647879542,0.5793204459357657
51-3011,-0.01861192274619622,-1.8575454927231019,-0.3744550752280671,-0.06645621314914552,-0.3343593859499667,0.02636052387104515,0.2932969103361103
51-3021,0.0005837784858272213,0.13356976653138639,-0.12321218613828933,-0.0021935081011061897,-0.15140666071088793,0.030387982673704794,0.21155295149929998
51-3022,-0.0002042996236181739,0.12284519665009282,-0.09459668563525447,-0.00012029409899394494,-0.1270074908596266,0.032531099323366064,0.3094638432728791
51-3023,-0.0007366559469695892,0.03248649136665327,-0.2936450761155154,-0.0005015640833234691,-0.3295359182588422,0.0363924062266503,0.31696443113788275
51-3091,-0.015579223142514522,-0.9910567576426192,-0.8240911280432717,-0.039214753179525275,-0.8038216623417496,0.01894528747800317,0.34927435512056126
51-3092,-0.03542056510272188,-3.4285037540116665,-0.5380707459370324,-0.12326712449805965,-0.4353844456673719,0.02058082422839913,0.3174704468701859
51-3093,-0.015123369916215483,-0.9567978295326827,-0.6551907944821789,-0.06965932807647679,-0.6085164608407063,0.022984994435004236,0.29035230100765963
51-4021,-0.0039386203144135224,-0.14015257231708655,-0.6775215270432882,-0.019384618279132848,-0.679430344720207,0.02129343595605171,0.2729695612897687
51-4022,-0.0005014181906398757,0.0954656157660923,-1.015170342490375,-0.002974205193279289,-1.0311713774197764,0.018975240122680592,0.21185829733571193
51-4023,-0.0033338768891117746,-0.13643819789863332,-0.696441575124497,-0.02280327147884531,-0.6969603310683978,0.02332202742274614,0.2133370211125012
51-4031,-0.00015095146735244025,0.10419149278313328,-0.4390051598017424,-0.0011636804571044657,-0.4550913776497749,0.017249898305137012,0.2629931105556804
51-4032,6.439327695269975e-05,0.11738679022168694,-0.3594800958419042,-0.0013825656502670647,-0.378868176934235,0.020770646742597876,0.23218857174556629
51-4033,-0.0006024533516234375,0.08150625085316157,-0.682522041503228,-0.002909405464936121,-0.6963703259896272,0.01675768995133531,0.25399899365157497
51-4034,-0.0008306582459811692,0.077487731271172,-0.7578750776783969,-0.003043340629590663,-0.772898987509516,0.018067250460709783,0.23305279837698167
51-4035,-0.0005970726187849546,0.09482451199780412,-1.0468319308582452,-0.0018260087022676785,-1.0612686855723998,0.0162627634164223,0.20084575782856584
51-4041,-0.020417070698466263,-2.7372925726484714,-0.39710556413659504,-0.07533367391968548,-0.34053669384026586,0.018764803623356308,0.27921939853304734
51-4051,-0.00464134812157842,-0.2769974034865975,-0.6220314646040901,-0.01963451104621905,-0.6236622616089718,0.021265308051100718,0.25350034094976115
51-4052,-0.0030010502308691115,-0.10958221508618554,-1.0974626979474955,-0.008029222824499804,-1.1079490558067007,0.018515580683704957,0.29372195390947464
51-4061,-0.04673383754003578,-4.183378887405393,-1.1943106875261762,-0.08552209941142763,-1.1265979773922852,0.017809389277536614,0.1051780838412113
51-4062,-0.00205558604035118,0.00411683128045176,-0.8514561830524507,-0.0054500793499574485,-0.8673497227096165,0.021343619007123227,0.2125331356907103
51-4071,-0.0002502441828663706,0.09099983049884144,-0.7779619290021866,-1.9384814062384237e-05,-0.8037213569561752,0.02577881276805094,0.3014673883392458
51-4072,-0.0008508420996857704,0.061643361654616785,-0.4535272582382719,-0.0031598900488325476,-0.4678124137680957,0.017445045578656337,0.3220365959538891
51-4081,0.0006582896091572004,0.12087225722224608,-0.45605128993049515,-0.001175712818565433,-0.47475700202013904,0.019881424908209322,0.2609983547135859
51-4111,-0.002549723436258489,-0.14823530339740193,-0.7692499727400617,-0.015186543464116742,-0.7732496573080851,0.019186228032140207,0.17217509045233514
51-4121,-0.003811834257445237,-0.22497433627000518,-0.3545931022844009,-0.013741146282932881,-0.35861246305836136,0.01776050705689336,0.23491927008487057
51-4122,-0.0013837061622561553,0.04857522119148207,-0.8723831685842938,-0.007254122924350792,-0.8814255778607674,0.016296532200824387,0.22379480500052962
51-4191,-0.0021860711304536426,-0.06301998326549513,-0.7258993261455577,-0.010251082814360046,-0.7381926009626949,0.022544357631497203,0.24263692609258225
51-4192,-0.0005496077441688935,0.11160931106315286,-0.820018055714971,-0.0034331093230344223,-0.8381563649997679,0.021571418607831294,0.2461179242195688
51-4193,-0.005569450513407674,-0.26719938483294303,-0.8588907177920064,-0.017516534216152735,-0.8587875084885965,0.017413324912742834,0.27234770845167455
51-4194,-0.00014753888844154788,0.1036556675362986,-0.9606529234730812,-0.00133289616918697,-0.9775385307356603,0.01821850343176612,0.24127536912461434
51-5111,-0.030171560301506205,-3.340632411480157,-0.7019965727632584,-0.16460690410723755,-0.564231752285834,0.026842083629813107,0.18377498328843034
51-5112,-0.010324304220798488,-0.8426178879907331,-0.32935740667109226,-0.0370320026439952,-0.31908986261709993,0.02676445859000287,0.2156749186569371
51-5113,-3.9991439786792064e-05,0.06223808680479544,-0.5438667620305693,-0.004028208822020929,-0.5619891470656664,0.02215059385711804,0.24640764709163054
51-6011,-0.00711051581528937,-0.3994148656223539,-0.3338698795920809,-0.030093813586000717,-0.32870435205246773,0.024928286046387527,0.36574025873576854
51-6021,-0.0008915583389109317,0.027155234414191678,-0.5219389339875691,-0.002867871733649441,-0.5485312985473287,0.029460236293409103,0.3707626902677976
51-6031,-0.0010236214134348887,0.04629864008542254,-0.46092260413701824,-0.001493202112663905,-0.48270161257096467,0.023272210546610328,0.32800000294523324
51-6041,-0.0036138366882707313,-0.12465324046241763,-0.3872959774621001,-0.008281792067388327,-0.40515413319455584,0.026139947799844077,0.24582594029907057
51-6042,-0.0028195461608675016,-0.06408312570593284,-1.5111678483943276,-0.01646606690485264,-1.5095011350069862,0.014799353517511271,0.153567419384943
