code,dL,strip_adj,cong_adj,reinst_adj,total_adj
15-1241.01,-0.00038271474406307443,-0.7986032915456702,0.22504003796260097,0.03520777833230815,-0.5383554752507611
15-1242.00,-0.0002674416332177815,-1.3156110799530993,0.3102237925700315,0.04964182033967779,-0.95574546704339
15-1243.00,-0.00020081965589655915,-1.3660323901245706,0.3438973023263512,0.05152042434737947,-0.9706146634508399
15-1243.01,-0.0001866651493803073,-1.1106286058391515,0.3176184368263457,0.03469128995098725,-0.7583188790618185
15-1244.00,-0.0004771098553667029,-0.8050804595275332,0.14158497304201623,0.05579259315245988,-0.607702893333057
15-1251.00,-0.00024691005299135656,-1.0024250787484732,0.20812936071435129,0.048307080354583753,-0.7459886376795382
15-1252.00,-0.003781740436701002,-1.593242883481716,0.2126961048330993,0.14051341596314937,-1.2400333626854674
15-1253.00,-0.0008308055578277729,-1.5864531476751358,0.45115195928695595,0.04779538232118785,-1.087505806066992
15-1254.00,-0.0002980025831620242,-1.330991974625304,0.2966524660296499,0.04568022666933347,-0.9886592819263207
15-1255.01,-0.0004031990050118974,-1.784772748929139,0.3619740587797251,0.07511736369075006,-1.3476813264586638
15-1299.01,-0.001538528148934314,-1.5393943594774515,0.3603941551934402,0.057357941956099,-1.1216422623279123
15-1299.03,-0.0013198211718730686,-1.6722948277404837,0.21757332796782158,0.076993281433829,-1.377728218338833
15-1299.05,-0.001764022983739106,-2.2038771703749322,0.44714873924586573,0.11205382213019455,-1.6446746089988717
15-1299.08,-0.0016846796272631448,-1.4163828353036831,0.460687333325406,0.059830346030783854,-0.8958651559474933
15-1299.09,-0.0013262460278810084,-1.8954197639803712,0.19433821332360668,0.1798722035154927,-1.5212093471412718
15-2011.00,-8.439498651024884e-05,-1.7447264326763026,0.2169027058192725,0.14176210884472762,-1.3860616180123024
15-2021.00,-1.0117447926133843e-05,-1.3680894878624694,0.3139910888380286,0.037334841206622116,-1.0167635578178187
15-2031.00,-0.0005296659801394246,-1.8799510164057072,0.40346889392003593,0.06802510977203458,-1.4084570127136367
15-2041.00,-0.00015225200695886498,-1.9337112992432823,0.8091479554535352,0.029692459591494025,-1.094870884198253
15-2041.01,-0.0001598874970754608,-2.362781832861751,1.086351918288794,0.055774694359185695,-1.2206552202137715
15-2051.01,-0.0006968671811260424,-2.013798012402837,0.29114911648739006,0.09411784481834906,-1.6285310510970978
15-2051.02,-0.0005659944914376829,-1.5382568595862585,0.29878375556293,0.08240824578980321,-1.1570648582335252
