t,A_K,U_tot_theta1,U_tot_theta3,U_tot_theta8,U_tot_theta15
2.980000000000000071e+01,6.031868353341164335e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.000000000000000000e+01,6.031868353341178768e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.020000000000000284e+01,6.031868353341189870e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.040000000000000213e+01,6.031868353341199862e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.060000000000000142e+01,6.031868353341206523e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.080000000000000071e+01,6.031868353341212075e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.100000000000000000e+01,6.031868353341215405e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.120000000000000284e+01,6.031868353341219846e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.140000000000000213e+01,6.031868353341222067e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.160000000000000142e+01,6.031868353341225397e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.180000000000000071e+01,6.031868353341226507e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.200000000000000000e+01,6.031868353341227618e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.220000000000000284e+01,6.031868353341228728e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.239999999999999858e+01,6.031868353341230948e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.260000000000000142e+01,6.031868353341230948e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.280000000000000426e+01,6.031868353341230948e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.300000000000000000e+01,6.031868353341232059e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.320000000000000284e+01,6.031868353341232059e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.339999999999999858e+01,6.031868353341232059e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.360000000000000142e+01,6.031868353341232059e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.380000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.400000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.420000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
