onet_code,rle_mean
31-9096.00,2.1497149714971493
31-9097.00,3.091190880911909
31-9099.01,5.6601
31-9099.02,2.7308269173082698
33-1011.00,3.211221122112211
33-1012.00,3.287
33-1021.00,3.6868
33-1091.00,3.921807819218078
33-2011.00,3.0200020002000207
33-2021.00,3.3274327432743274
33-2022.00,3.9377999999999997
33-3011.00,3.1496149614961495
33-3012.00,2.2271
33-3021.00,3.552744725527447
33-3021.02,3.9005999999999994
33-3021.06,6.173782621737826
33-3031.00,5.3498650134986505
33-3041.00,2.0733073307330736
33-3051.00,3.281071892810719
33-3051.04,3.8002800280028004
33-3052.00,4.3376662333766625
33-9011.00,2.6925
33-9021.00,4.507050705070507
33-9031.00,2.2437000000000005
33-9032.00,2.463
33-9091.00,1.9733999999999998
33-9092.00,2.4133999999999998
33-9093.00,2.1852
33-9099.02,2.7543
35-1011.00,4.291600000000001
35-1012.00,1.7756
35-2011.00,1.5797999999999999
35-2012.00,2.5132999999999996
35-2013.00,2.654
35-2014.00,2.137513751375138
35-2015.00,2.1902809719028102
35-2021.00,2.807
35-3011.00,2.0281000000000002
35-3023.00,1.8081191880811922
35-3023.01,1.8203
35-3031.00,1.8024999999999998
35-3041.00,2.8867999999999996
35-9011.00,1.8327000000000004
35-9021.00,1.5809000000000002
35-9031.00,2.419
37-1011.00,3.3544
37-1012.00,4.441044104410441
37-2011.00,2.8640999999999996
37-2012.00,2.4003
37-2021.00,2.1111
37-3011.00,2.7466999999999997
37-3012.00,2.5275000000000003
37-3013.00,1.5308
39-1013.00,2.9788978897889793
39-1022.00,4.353300000000001
39-2011.00,2.4579
39-2021.00,2.8472000000000004
39-3011.00,2.1611999999999996
39-3012.00,2.217578242175782
39-3021.00,2.3839383938393834
39-3031.00,1.8409840984098411
39-3091.00,1.4908000000000001
39-3092.00,3.6605000000000003
39-3093.00,1.9881011898810121
39-4011.00,5.1363
39-4021.00,3.3689368936893693
39-4031.00,4.6515
39-5011.00,2.788578857885789
39-5012.00,2.7917
39-5091.00,3.2855571114222846
39-5092.00,1.7951
39-5093.00,2.566
39-5094.00,3.8950104989501044
39-6011.00,1.8470152984701529
39-6012.00,3.0909000000000004
39-7011.00,4.4109
39-7012.00,2.5876587658765877
39-9011.00,3.1462
39-9011.01,2.76
