soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
29-2033,1999,19.66,H_MEDIAN,17880.0,1,True
29-2034,1999,16.469999999999995,H_MEDIAN,177850.0,1,False
29-2035,1999,16.469999999999995,H_MEDIAN,177850.0,1,False
29-2042,1999,10.210000000000003,H_MEDIAN,172360.0,1,False
29-2043,1999,10.210000000000003,H_MEDIAN,172360.0,1,False
29-2051,1999,9.39,H_MEDIAN,29190.0,1,True
29-2052,1999,9.11,H_MEDIAN,196430.0,1,True
29-2053,1999,10.56,H_MEDIAN,54560.0,1,True
29-2055,1999,12.840000000000002,H_MEDIAN,64810.0,1,True
29-2056,1999,9.889999999999999,H_MEDIAN,47470.0,1,True
29-2061,1999,13.39,H_MEDIAN,688510.0,1,True
29-2072,1999,10.369999999999997,H_MEDIAN,142720.0,1,False
29-2081,1999,11.1,H_MEDIAN,58860.0,1,True
29-2091,1999,17.93999999999999,H_MEDIAN,3330.0,1,True
29-2099,1999,15.140000000000004,H_MEDIAN,33990.0,1,False
29-9021,1999,10.369999999999997,H_MEDIAN,142720.0,1,False
29-9091,1999,15.134615384615387,A_MEDIAN,16670.0,1,True
31-1121,1999,8.21,H_MEDIAN,577530.0,1,True
31-1122,1999,7.499999999999999,H_MEDIAN,300500.0,1,True
31-1131,1999,8.289999999999997,H_MEDIAN,1308740.0,1,False
31-1132,1999,8.289999999999997,H_MEDIAN,1308740.0,1,False
31-1133,1999,10.32,H_MEDIAN,51100.0,1,True
31-2011,1999,15.789999999999997,H_MEDIAN,17290.0,1,True
31-2012,1999,9.339999999999998,H_MEDIAN,9250.0,1,True
31-2021,1999,15.900000000000011,H_MEDIAN,48600.0,1,True
31-2022,1999,9.05,H_MEDIAN,44340.0,1,True
31-9011,1999,11.009999999999998,H_MEDIAN,21910.0,1,True
31-9091,1999,11.239999999999998,H_MEDIAN,175160.0,1,True
31-9092,1999,10.479999999999999,H_MEDIAN,281480.0,1,True
