onet_code,aise,rse,job_zone,complementarity
39-9032.00,0.0657620041753653,0.1071428571428571,4.0,0.6258333333333334
39-9041.00,0.2045929018789144,0.3928571428571428,3.0,0.6111111111111112
39-9099.00,0.534446764091858,0.8214285714285714,,
41-1011.00,0.3705636743215031,0.4642857142857143,2.0,0.5472222222222223
41-1012.00,0.662839248434238,0.6785714285714286,4.0,0.6713888888888888
41-2011.00,0.4164926931106472,0.5476190476190477,2.0,0.4225
41-2012.00,0.1075156576200417,0.3214285714285714,2.0,0.4611111111111111
41-2021.00,0.2056367432150313,0.6071428571428571,2.0,0.5152777777777777
41-2022.00,0.0699373695198329,0.4880952380952381,2.0,0.5719444444444445
41-2031.00,0.0594989561586638,0.2023809523809523,2.0,0.5183333333333333
41-3011.00,0.3580375782881002,0.4166666666666667,4.0,0.5744444444444445
41-3021.00,0.150313152400835,0.0952380952380952,4.0,0.5838888888888889
41-3031.00,0.1544885177453027,0.0357142857142857,4.0,0.5777777777777778
41-3041.00,0.2807933194154488,0.369047619047619,3.0,0.5463888888888888
41-3091.00,0.767223382045929,0.75,,
41-4011.00,0.3235908141962422,0.6071428571428571,4.0,0.5886111111111112
41-4011.07,0.1242171189979123,0.2023809523809523,3.0,0.6377777777777778
41-4012.00,0.3194154488517745,0.4404761904761904,4.0,0.6027777777777777
41-9011.00,0.5803757828810021,0.8571428571428571,2.0,0.4672222222222222
41-9012.00,0.0626304801670146,0.0952380952380952,2.0,0.3580555555555555
41-9021.00,0.1169102296450939,0.1071428571428571,4.0,0.6747222222222221
41-9022.00,0.1294363256784968,0.1309523809523809,3.0,0.6161111111111112
41-9031.00,0.5229645093945721,0.75,4.0,0.5627777777777778
41-9041.00,0.3820459290187891,0.4761904761904761,2.0,0.4216666666666666
41-9091.00,0.0918580375782881,0.3214285714285714,1.0,0.4469444444444443
41-9099.00,0.9091858037578288,0.9285714285714286,,
43-1011.00,0.7296450939457203,0.5952380952380952,3.0,0.5583333333333333
43-2011.00,0.4248434237995824,0.5,2.0,0.4680555555555556
43-2021.00,0.477035490605428,0.5714285714285714,2.0,0.4069444444444444
43-2099.00,0.7588726513569938,0.8333333333333334,,
43-3011.00,0.6691022964509394,0.6666666666666666,2.0,0.4352777777777777
43-3021.00,0.6482254697286013,0.6190476190476191,3.0,0.4308333333333333
43-3031.00,0.6169102296450939,0.6428571428571429,3.0,0.4855555555555556
43-3041.00,0.3183716075156576,0.369047619047619,2.0,0.4858333333333333
43-3051.00,0.545929018789144,0.6428571428571429,3.0,0.4633333333333334
43-3061.00,0.4269311064718162,0.6904761904761905,2.0,0.4533333333333333
43-3071.00,0.18580375782881,0.2023809523809523,2.0,0.5463888888888888
43-3099.00,0.7098121085594989,0.6666666666666666,,
43-4011.00,0.1722338204592902,0.1428571428571428,3.0,0.5058333333333334
43-4021.00,0.7160751565762005,0.6190476190476191,2.0,0.4969444444444443
43-4031.00,0.208768267223382,0.2738095238095238,2.0,0.4919444444444443
43-4041.00,0.3966597077244259,0.2857142857142857,2.0,0.5427777777777778
43-4051.00,0.8382045929018789,0.8571428571428571,2.0,0.4152777777777778
43-4061.00,0.2348643006263048,0.1547619047619047,3.0,0.475
43-4071.00,0.5187891440501043,0.7261904761904762,2.0,0.43
43-4081.00,0.2954070981210856,0.3333333333333333,2.0,0.5497222222222222
43-4111.00,0.907098121085595,1.0,3.0,0.5730555555555557
43-4121.00,0.1649269311064718,0.2976190476190476,2.0,0.5013888888888889
43-4131.00,0.6043841336116911,0.5595238095238095,3.0,0.55
43-4141.00,0.6033402922755741,0.4404761904761904,3.0,0.523888888888889
43-4151.00,0.2682672233820459,0.6190476190476191,2.0,0.4805555555555556
43-4161.00,0.5386221294363257,0.6666666666666666,3.0,0.5119444444444443
43-4171.00,0.7651356993736952,0.75,2.0,0.4430555555555556
43-4181.00,0.2766179540709812,0.4880952380952381,2.0,0.5794444444444445
43-4199.00,0.8121085594989561,0.7142857142857143,,
43-5011.00,0.1931106471816284,0.4166666666666667,2.0,0.5313888888888889
43-5011.01,0.2473903966597077,0.6071428571428571,2.0,0.5405555555555555
43-5021.00,0.1764091858037578,0.5476190476190477,2.0,0.5580555555555555
43-5031.00,0.0427974947807933,0.0833333333333333,2.0,0.5069444444444445
43-5032.00,0.313152400835073,0.7023809523809523,2.0,0.6022222222222222
